"filename", "language", "JSON", "JavaScript", "WXML", "CSS", "comment", "blank", "total"
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.wxml", "WXML", 0, 0, 97, 0, 14, 1, 112
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.js", "JavaScript", 0, 44, 0, 0, 29, 25, 98
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.wxml", "WXML", 0, 0, 26, 0, 0, 1, 27
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.wxml", "WXML", 0, 0, 24, 0, 6, 2, 32
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.js", "JavaScript", 0, 46, 0, 0, 28, 17, 91
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.wxml", "WXML", 0, 0, 21, 0, 2, 1, 24
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.js", "JavaScript", 0, 67, 0, 0, 32, 15, 114
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.json", "JSON", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.wxml", "WXML", 0, 0, 34, 0, 4, 4, 42
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.js", "JavaScript", 0, 326, 0, 0, 29, 17, 372
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.wxml", "WXML", 0, 0, 41, 0, 1, 3, 45
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.js", "JavaScript", 0, 48, 0, 0, 28, 18, 94
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.wxml", "WXML", 0, 0, 70, 0, 1, 9, 80
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.js", "JavaScript", 0, 320, 0, 0, 10, 3, 333
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.wxml", "WXML", 0, 0, 59, 0, 8, 3, 70
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.wxss", "CSS", 0, 0, 0, 3, 1, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.js", "JavaScript", 0, 99, 0, 0, 33, 16, 148
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.wxml", "WXML", 0, 0, 36, 0, 4, 1, 41
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.js", "JavaScript", 0, 53, 0, 0, 28, 18, 99
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.wxml", "WXML", 0, 0, 72, 0, 1, 5, 78
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.js", "JavaScript", 0, 164, 0, 0, 17, 8, 189
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.wxml", "WXML", 0, 0, 48, 0, 1, 1, 50
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.wxss", "CSS", 0, 0, 0, 3, 1, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.js", "JavaScript", 0, 103, 0, 0, 35, 21, 159
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.wxml", "WXML", 0, 0, 12, 0, 1, 4, 17
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\project.config.json", "JSON", 54, 0, 0, 0, 0, 0, 54
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\project.private.config.json", "JSON", 29, 0, 0, 0, 0, 0, 29
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\sitemap.json", "JSON", 7, 0, 0, 0, 0, 0, 7
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\WxValidate.js", "JavaScript", 0, 241, 0, 0, 142, 35, 418
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\api.js", "JavaScript", 0, 13, 0, 0, 2, 1, 16
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\utils.js", "JavaScript", 0, 134, 0, 0, 10, 10, 154
"Total", "-", 227, 2799, 962, 6822, 1223, 2013, 14046
